"","player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","cumwin","cumspread","ave.score","hi.score","low.score","si","lose.streak","win.streak","rank"
"157","Tony Sim",4,458,8,4,"N",1,"Win","N","Yeo Kian Hung",401,57,4,477,496.5,587,414,400477,3,4,1
"158","Yeo Kian Hung",4,401,4,8,"N",0,"Lose","N","Tony Sim",458,-57,3,417,471.75,556,401,300417,2,3,5
"159","Yong Jian Rong",4,449,21,10,"N",0,"Lose","N","Karen Richards",457,-8,2,57,412,543,263,200057,1,3,20
"160","Zz Bye",4,100,38,40,"Y",0,"Lose","N","Andri Prasetyo",150,-50,0,-200,100,100,100,-200,16,-Inf,38
"161","Alastair Richards",5,507,25,2,"N",1,"Win","N","Leon Tan",285,222,4,501,490.6,511,464,400501,2,3,3
"162","Alex Tan",5,453,34,17,"N",1,"Win","N","Mary Morgan",353,100,2,-151,392.6,453,360,199849,3,8,29
"163","Ananto Widodo",5,323,31,37,"N",0,"Lose","N","Nicholas Hong",358,-35,1,-187,313,374,150,99813,4,1,34
"164","Andri Prasetyo",5,374,29,38,"N",0,"Lose","N","Elizabeth Wok",406,-32,2,-331,298.8,402,150,199669,4,2,32
"165","Andy Kurnia",5,482,30,6,"N",1,"Win","N","Arul Inthirarajah",352,130,2.5,-310,380,482,292,249690,2,2,21
"166","Arul Inthirarajah",5,352,6,30,"N",0,"Lose","N","Andy Kurnia",482,-130,1,-215,360.8,498,199,99785,4,3,35
"167","Cheah Siu Hean",5,468,15,7,"N",1,"Win","N","Jeremy Khoo",348,120,3,462,455.2,510,396,300462,2,3,8
"168","Chew Han Ei",5,424,19,23,"N",1,"Win","N","Poh Ying Ming",408,16,3,93,416.6,448,399,300093,2,3,13
"169","Dianne Ward",5,429,12,22,"N",0,"Lose","N","Ron Baginski",461,-32,2,-66,399,441,350,199934,2,3,26
"170","Elizabeth Wok",5,406,38,29,"N",1,"Win","N","Andri Prasetyo",374,32,3,-170,352.4,406,299,299830,2,3,19
"171","Gabriel Cheang",5,355,5,16,"N",0,"Lose","N","Marlon Prudencio",418,-63,3,384,443.4,505,355,300384,2,2,9
"172","Gan Yi En",5,402,10,13,"N",0,"Lose","N","Yong Jian Rong",429,-27,2,47,426.8,494,367,200047,3,2,25
"173","Goh Jiang Pern",5,385,33,14,"N",0,"Lose","N","Shahrul Kamal",415,-30,1,-327,370,417,257,99673,4,2,38
"174","Hubert Wee",5,418,26,3,"N",1,"Win","N","Tengku Asri",389,29,4,38,424.4,448,393,400038,2,4,7
"175","J Goutham",5,536,21,9,"N",1,"Win","N","Karen Richards",357,179,4,259,451.4,536,391,400259,2,6,6
"176","Jeremy Khoo",5,348,7,15,"N",0,"Lose","N","Cheah Siu Hean",468,-120,2,184,377.4,461,331,200184,3,2,22
"177","Jessie Lim",5,317,18,28,"N",0,"Lose","N","Tay Jing En",412,-95,2,-265,374.8,526,314,199735,2,2,30
"178","K Dorai Raja",5,421,8,27,"N",0,"Lose","N","Yeo Kian Hung",464,-43,3,316,458,563,406,300316,6,4,10
"179","Karen Richards",5,357,9,21,"N",0,"Lose","N","J Goutham",536,-179,3,-135,387.4,457,342,299865,2,3,18
"180","Lee Cheong Cheng",5,481,4,20,"N",1,"Win","N","Tony Sim",379,102,5,384,406.2,499,150,500384,4,6,1
"181","Leon Tan",5,285,2,25,"N",0,"Lose","N","Alastair Richards",507,-222,3,20,438.2,498,285,300020,3,3,17
"182","Marlon Prudencio",5,418,16,5,"N",1,"Win","N","Gabriel Cheang",355,63,5,281,445.6,518,366,500281,3,5,2
