"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Lee Cheong Cheng",9,324,5,13,"N",0,"Lose","Y","Michael Tang",420,-96,1,1,0,1,0,1,"N",1,31,4,1,76
"Jeremy Khoo",9,462,1,14,"N",1,"Win","Y","Cheah Siu Hean",382,80,1,1,1,1,0,2,"",NA,NA,6,2,180
"Tay Jing En",9,421,9,15,"N",0,"Lose","N","Andy Kurnia",486,-65,2,1,0,1,0,2,"N",7,39,6,3,220
"Leon Tan",9,348,3,16,"N",0,"Lose","Y","Marlon Prudencio",479,-131,1,1,0,0,0,3,"N",14,19,5,2,138
"Cheah Siu Hean",10,513,12,1,"N",1,"Win","Y","Gabriel Cheang",364,149,2,1,0,0,1,4,"N",6,41,8,3,220
"Hubert Wee",10,381,10,2,"N",0,"Lose","Y","Yong Jian Rong",542,-161,2,0,1,1,1,1,"N",5,0,6,1,78
"Marlon Prudencio",10,450,14,3,"N",0,"Lose","Y","Jeremy Khoo",453,-3,1,0,0,1,0,3,"N",0,16,5,3,260
"Tony Sim",10,348,8,4,"N",0,"Lose","Y","J Jeyaseelan",457,-109,0,1,0,1,1,1,"N",0,9,4,0,0
"Michael Tang",10,487,16,5,"N",1,"Win","Y","Leon Tan",330,157,2,0,1,0,1,3,"N",2,2,7,2,202
"Lim Li Wei",10,506,15,6,"N",1,"Win","N","Tay Jing En",286,220,0,0,0,1,0,1,"N",1,11,2,2,154
"Lee Guan Hui",10,276,13,7,"N",0,"Lose","Y","Lee Cheong Cheng",427,-151,0,1,1,0,0,2,"N",2,55,4,0,0
"J Jeyaseelan",10,457,4,8,"N",1,"Win","N","Tony Sim",348,109,2,0,1,0,0,3,"Y",0,56,6,3,205
"Andy Kurnia",10,472,11,9,"N",1,"Win","Y","Shim Yen Nee",377,95,1,1,1,1,0,4,"N",0,11,8,3,225
"Yong Jian Rong",10,542,2,10,"N",1,"Win","N","Hubert Wee",381,161,1,1,0,0,0,3,"N",13,26,5,3,306
"Shim Yen Nee",10,377,9,11,"N",0,"Lose","N","Andy Kurnia",472,-95,1,0,0,0,1,0,"N",10,13,2,2,144
"Gabriel Cheang",10,364,1,12,"N",0,"Lose","N","Cheah Siu Hean",513,-149,0,0,1,1,0,0,"N",0,34,2,1,92
"Lee Cheong Cheng",10,427,7,13,"N",1,"Win","N","Lee Guan Hui",276,151,2,0,0,1,1,2,"N",0,47,6,1,79
"Jeremy Khoo",10,453,3,14,"N",1,"Win","N","Marlon Prudencio",450,3,1,1,1,0,1,1,"N",0,29,5,2,162
"Tay Jing En",10,286,6,15,"N",0,"Lose","Y","Lim Li Wei",506,-220,2,1,1,0,1,3,"N",5,6,8,1,74
"Leon Tan",10,330,5,16,"N",0,"Lose","N","Michael Tang",487,-157,0,1,0,1,0,1,"N",6,58,3,1,71
"Cheah Siu Hean",11,470,10,1,"N",0,"Lose","N","Yong Jian Rong",563,-93,0,0,0,0,1,2,"N",13,54,3,2,153
"Hubert Wee",11,471,8,2,"N",0,"Lose","N","J Jeyaseelan",528,-57,0,0,0,1,1,1,"N",8,57,3,2,158
"Marlon Prudencio",11,385,12,3,"N",0,"Lose","N","Gabriel Cheang",461,-76,1,1,0,1,1,2,"N",5,24,6,1,84
"Tony Sim",11,393,6,4,"N",0,"Lose","N","Lim Li Wei",471,-78,0,1,1,1,1,2,"N",0,5,6,0,0
"Michael Tang",11,463,14,5,"N",1,"Win","N","Jeremy Khoo",331,132,2,1,1,0,1,2,"N",2,31,7,2,148
"Lim Li Wei",11,471,4,6,"N",1,"Win","Y","Tony Sim",393,78,2,0,0,0,0,2,"Y",1,40,4,3,241
"Lee Guan Hui",11,517,16,7,"N",1,"Win","N","Leon Tan",313,204,2,1,1,1,1,2,"N",7,44,8,3,229
"J Jeyaseelan",11,528,2,8,"N",1,"Win","Y","Hubert Wee",471,57,2,1,1,0,0,3,"N",2,25,7,4,301
"Andy Kurnia",11,382,13,9,"N",0,"Lose","N","Lee Cheong Cheng",395,-13,1,0,1,0,1,0,"N",0,12,3,1,88
"Yong Jian Rong",11,563,1,10,"N",1,"Win","Y","Cheah Siu Hean",470,93,2,1,1,1,0,2,"N",7,4,7,3,287
"Shim Yen Nee",11,548,15,11,"N",1,"Win","N","Tay Jing En",231,317,2,1,1,0,1,1,"N",5,1,6,3,252
"Gabriel Cheang",11,461,3,12,"N",1,"Win","Y","Marlon Prudencio",385,76,1,0,1,0,0,2,"N",0,6,4,3,233
"Lee Cheong Cheng",11,395,9,13,"N",1,"Win","Y","Andy Kurnia",382,13,1,1,0,1,0,4,"N",5,55,7,2,130
"Jeremy Khoo",11,331,5,14,"N",0,"Lose","Y","Michael Tang",463,-132,0,0,0,1,0,2,"N",9,57,3,1,74
"Tay Jing En",11,231,11,15,"N",0,"Lose","Y","Shim Yen Nee",548,-317,0,0,0,1,0,3,"N",9,24,4,0,0
"Leon Tan",11,313,7,16,"N",0,"Lose","Y","Lee Guan Hui",517,-204,0,0,0,0,0,2,"N",12,41,2,2,148
"Cheah Siu Hean",12,448,8,1,"N",1,"Win","Y","J Jeyaseelan",360,88,1,1,0,1,1,3,"N",12,14,7,2,142
"Hubert Wee",12,543,6,2,"N",1,"Win","Y","Lim Li Wei",408,135,1,0,1,0,1,4,"N",9,55,7,5,371
"Marlon Prudencio",12,466,10,3,"N",1,"Win","Y","Yong Jian Rong",287,179,2,1,1,1,1,1,"N",1,25,7,2,151
"Tony Sim",12,358,15,4,"N",0,"Lose","Y","Tay Jing En",383,-25,1,0,1,0,1,2,"N",0,25,5,0,0
"Michael Tang",12,462,12,5,"N",1,"Win","Y","Gabriel Cheang",412,50,2,1,0,1,1,2,"N",1,42,7,2,151
